                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.3452,                 5.5542,                0.52427,                 1.1991,                 1.8218,                0.66496,                0.72342,                0.75817,                0.44475,                0.14433,                0.17757,                0.03906,                0.00935,                 2.4714,                 6.9307,                0.61071,                  1.283,                 3.8556,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3675,                  5.731,                0.52619,                 1.1941,                  1.818,                0.66798,                0.64486,                0.72109,                0.44903,                0.17928,                0.11215,                0.04144,                0.01019,                 2.3468,                 6.7144,                0.60357,                 1.2895,                 3.7151,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2983,                  5.692,                0.52933,                 1.1411,                  1.765,                0.70819,                0.65778,                 0.7417,                0.47096,                0.14123,                0.17757,                0.05514,                0.01385,                 2.3196,                 6.7782,                 0.6009,                 1.2884,                 3.5788,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3355,                 5.7984,                0.54074,                 1.1415,                 1.7805,                0.76168,                0.65717,                0.75666,                0.48536,                0.15421,                0.17757,                0.05714,                0.01415,                 2.2829,                 6.6588,                0.59982,                 1.2624,                 3.7176,               0.000515,               0.000515,               0.000515
                     77,                 1.3107,                 5.8338,                0.52805,                 1.1006,                 1.7684,                0.74747,                0.70093,                0.77266,                0.49089,                0.15783,                0.14953,                0.04777,                0.01192,                  2.313,                 6.6522,                0.60737,                   1.27,                 3.6231,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.3216,                 5.6662,                  0.522,                 1.1192,                 1.7797,                 0.7697,                0.71963,                0.77858,                0.49971,                0.16993,                0.15888,                0.04541,                0.01197,                 2.3288,                 6.5581,                0.61558,                 1.3054,                 3.5627,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.3402,                 5.6922,                0.52207,                 1.1451,                 1.7958,                0.80447,                0.65368,                0.75065,                0.47051,                0.20919,                0.16822,                0.05514,                0.01272,                 2.3633,                 6.6461,                0.60708,                 1.2791,                 3.7946,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.3433,                 5.7368,                0.51805,                 1.1649,                 1.7918,                0.81781,                 0.6729,                0.76723,                0.49053,                0.13787,                0.15888,                0.04513,                0.01188,                 2.4279,                 6.5523,                0.60931,                  1.273,                 3.9293,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.3153,                 5.5931,                 0.5154,                 1.1236,                 1.7631,                 0.7345,                0.69159,                0.76096,                0.50008,                0.15322,                0.13084,                0.04535,                0.01253,                 2.3231,                 6.4295,                0.59557,                 1.2353,                 3.7816,               0.000416,               0.000416,               0.000416
                     82,                 1.2732,                 5.7069,                0.52075,                    1.1,                 1.7294,                0.77382,                0.66355,                0.76702,                0.48629,                0.16481,                0.16822,                 0.0464,                0.01276,                 2.4221,                 6.4878,                0.61549,                 1.2607,                 3.8406,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.3296,                 5.6794,                0.52389,                 1.1064,                 1.7822,                0.69244,                0.72897,                0.76249,                0.49281,                 0.1467,                0.15888,                0.04369,                 0.0125,                 2.2958,                 6.6252,                0.61619,                 1.2175,                  3.746,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3469,                 5.5456,                0.52799,                 1.1428,                 1.7728,                0.76597,                0.69159,                 0.7596,                0.50376,                0.21868,                0.20561,                0.06702,                0.01746,                 2.2811,                 6.5288,                0.60177,                 1.1854,                 3.6862,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2971,                  5.507,                0.52047,                 1.0603,                 1.7514,                0.77644,                0.64918,                0.76828,                0.50835,                0.21917,                0.14019,                0.06089,                0.01528,                 2.2858,                 6.6003,                0.61357,                 1.2608,                 3.7859,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2698,                 5.6109,                0.52936,                 1.0608,                 1.7262,                0.70568,                0.71028,                0.76539,                0.48944,                0.15844,                0.17757,                0.05439,                0.01526,                 2.4051,                 6.5615,                0.61528,                 1.2981,                 3.8395,               0.000317,               0.000317,               0.000317
                     87,                 1.2652,                 5.4112,                 0.5183,                 1.0404,                 1.7409,                0.73223,                0.71559,                0.75725,                0.49017,                0.15522,                0.16822,                0.04555,                0.01366,                 2.3639,                 6.5343,                0.59982,                 1.2457,                 3.8644,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2621,                 5.5569,                0.51484,                 1.0488,                  1.729,                0.74977,                0.67206,                0.75492,                0.48815,                0.18041,                0.18692,                0.06228,                 0.0163,                 2.4271,                 6.5609,                0.60569,                 1.2632,                  3.986,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.2535,                 5.4459,                0.51488,                 1.0416,                 1.7162,                0.75207,                 0.6804,                0.74837,                0.50278,                0.15814,                0.16822,                0.04963,                0.01257,                 2.3352,                 6.5253,                0.60705,                 1.2504,                 3.8522,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2385,                 5.4287,                0.51992,                 1.0544,                 1.7174,                0.71441,                0.70138,                0.76597,                0.50731,                 0.1635,                0.17902,                0.04917,                0.01146,                 2.3068,                 6.4369,                0.61785,                 1.2292,                 3.7004,              0.0002378,              0.0002378,              0.0002378
                     91,                0.97959,                  5.751,                0.55879,                0.76282,                 1.5374,                0.82465,                0.63551,                0.76052,                 0.4943,                 0.1931,                0.17757,                 0.0609,                0.01606,                 2.2525,                 6.3877,                0.60702,                 1.1951,                 3.6654,               0.000218,               0.000218,               0.000218
                     92,                0.97746,                  5.764,                0.55615,                0.72334,                  1.583,                0.84215,                0.68224,                0.77958,                0.50783,                0.21503,                0.15888,                0.05569,                0.01385,                 2.2386,                 6.4283,                0.60234,                 1.1951,                 3.7525,              0.0001982,              0.0001982,              0.0001982
                     93,                0.95051,                 5.6734,                0.56024,                0.70981,                   1.53,                0.84428,                0.70093,                0.78135,                0.52341,                0.20715,                0.16822,                0.06618,                0.01701,                 2.2496,                 6.3894,                0.60729,                 1.2224,                 3.7456,              0.0001784,              0.0001784,              0.0001784
